# Zeit [s] , Beschleunigung [m/sÂ²]
0.008, 0.000
0.173, 0.000
0.361, 0.000
0.548, 0.000
0.735, 0.000
0.923, 0.000
1.110, 0.000
1.297, 0.000
1.485, 0.000
1.672, 0.000
1.834, 0.045
1.953, 0.145
2.047, 0.250
2.091, 0.359
2.146, 0.479
2.174, 0.585
2.208, 0.704
2.246, 0.849
2.288, 0.999
2.345, 1.105
2.394, 1.225
2.432, 1.337
2.489, 1.453
2.555, 1.555
2.609, 1.666
2.674, 1.772
2.725, 1.886
2.787, 2.001
2.864, 2.094
2.949, 2.188
3.034, 2.283
3.111, 2.379
3.179, 2.474
3.247, 2.568
3.324, 2.658
3.372, 2.756
3.436, 2.870
3.511, 2.997
3.575, 3.113
3.690, 3.192
3.784, 3.063
3.835, 2.962
3.894, 2.862
4.005, 2.755
4.099, 2.675
4.161, 2.567
4.209, 2.472
4.355, 2.390
4.510, 2.572
4.695, 2.616
4.814, 2.722
4.882, 2.821
5.001, 2.932
5.180, 2.967
5.270, 2.838
5.272, 2.700
5.308, 2.594
5.342, 2.491
5.357, 2.389
5.402, 2.275
5.444, 2.158
5.478, 2.051
5.512, 1.949
5.553, 1.819
5.594, 1.647
5.635, 1.455
5.649, 1.321
5.668, 1.198
5.681, 1.069
5.717, 0.934
5.759, 0.801
5.799, 0.654
5.814, 0.521
5.842, 0.403
5.909, 0.300
5.998, 0.143
6.134, -0.010
6.258, 0.165
6.319, 0.339
6.372, 0.449
6.409, 0.548
6.432, 0.659
6.475, 0.786
6.517, 0.918
6.534, 1.013
6.560, 1.147
6.585, 1.278
6.619, 1.386
6.653, 1.482
6.689, 1.579
6.721, 1.648
6.742, 1.747
6.773, 1.886
6.866, 1.993
7.019, 2.083
7.173, 2.039
7.318, 1.940
7.496, 1.867
7.684, 1.846
7.871, 1.901
8.050, 2.005
8.229, 2.072
8.416, 2.089
8.603, 2.084
8.791, 2.043
8.978, 1.952
9.165, 1.877
9.353, 1.841
9.540, 1.823
9.676, 1.760
9.740, 1.657
9.770, 1.572
9.787, 1.427
9.804, 1.288
9.842, 1.166
9.889, 1.071
9.923, 0.972
9.957, 0.873
9.986, 0.760
10.014, 0.648
10.059, 0.529
10.082, 0.417
10.127, 0.285
10.162, 0.180
10.211, 0.053
10.357, -0.039
10.485, 0.062
10.562, 0.131
10.664, 0.286
10.792, 0.449
10.911, 0.549
11.002, 0.644
11.028, 0.761
11.066, 0.875
11.141, 0.987
11.260, 1.085
11.430, 1.162
11.618, 1.190
11.805, 1.135
11.992, 1.074
12.180, 1.050
12.341, 1.002
12.444, 0.903
12.493, 0.806
12.524, 0.688
12.546, 0.601
12.597, 0.485
12.648, 0.349
12.705, 0.223
12.801, 0.111
12.946, 0.012
13.133, -0.024
13.287, 0.034
13.397, 0.132
13.482, 0.236
13.559, 0.339
13.644, 0.442
13.738, 0.538
13.883, 0.626
14.070, 0.685
14.257, 0.750
14.445, 0.810
14.632, 0.860
14.793, 0.868
14.934, 0.836
14.966, 0.738
15.032, 0.642
15.100, 0.537
15.167, 0.424
15.211, 0.327
15.296, 0.229
15.390, 0.129
15.526, 0.028
15.705, -0.037
15.850, -0.105
15.926, -0.185
16.000, -0.185